Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.604785613	4068	6.046869278	3.530445099	34.25828571	0.35132948	1.406011561	0.70300578
0.604843473	4104	6.465301037	4.12398386	34.25828571	0.35132948	1.406011561	0.70300578
0.604901345	4140	6.465301037	4.12398386	34.25828571	0.35132948	1.406011561	0.70300578
0.604959217	4176	6.465301037	4.12398386	34.25828571	0.35132948	1.406011561	0.70300578
0.6050171	4212	5.851092815	2.266812325	34.25828571	0.35132948	1.406011561	0.70300578
0.60507496	4248	5.851092815	2.266812325	34.25828571	0.35132948	1.406011561	0.70300578
0.605132844	4284	5.851092815	2.266812325	34.25828571	0.35132948	1.406011561	0.70300578
0.605190704	4320	5.158124447	7.886165619	34.25828571	0.35132948	1.406011561	0.70300578
0.605248576	4356	5.158124447	7.886165619	34.25828571	0.35132948	1.406011561	0.70300578
0.605306436	4392	5.158124447	7.886165619	34.25828571	0.35132948	1.406011561	0.70300578
0.605364319	4428	5.114738941	5.383110523	34.25828571	0.35132948	1.406011561	0.70300578
0.60542218	4464	5.114738941	5.383110523	34.25828571	0.35132948	1.406011561	0.70300578
0.605480052	4500	5.114738941	5.383110523	34.25828571	0.35132948	1.406011561	0.70300578
0.605537923	4536	4.93620491	3.16213274	34.25828571	0.35132948	1.406011561	0.70300578
0.605595807	4572	4.93620491	3.16213274	34.25828571	0.35132948	1.406011561	0.70300578
0.605653655	4608	4.93620491	3.16213274	34.25828571	0.35132948	1.406011561	0.70300578
0.605711539	4644	4.228385449	2.051231623	34.25828571	0.35132948	1.406011561	0.70300578
0.605769399	4680	4.228385449	2.051231623	34.25828571	0.35132948	1.406011561	0.70300578
0.605827271	4716	4.228385449	2.051231623	34.25828571	0.35132948	1.406011561	0.70300578
0.605885143	4752	3.994844675	3.017873287	34.25828571	0.35132948	1.406011561	0.70300578
0.605943015	4788	3.994844675	3.017873287	34.25828571	0.35132948	1.406011561	0.70300578
0.606000886	4824	3.994844675	3.017873287	34.25828571	0.35132948	1.406011561	0.70300578
0.60605877	4860	3.895002604	4.716274262	34.25828571	0.35132948	1.406011561	0.70300578
0.60611663	4896	3.895002604	4.716274262	34.25828571	0.35132948	1.406011561	0.70300578
